# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: dc.gov
# Property: dcgov GA4
# ----------------------------------------
# 
# Hostname exactly matches dhcf.dc.gov
# Start date: 20250916
# End date: 20251216
Page title and screen class,Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
PACE in DC | dhcf,/page/pace-dc,321,246,1.3048780487804879,39.06910569105691,1138,0,0
Section 1115 Demonstration | dhcf,/1115-waiver-initiative,317,189,1.6772486772486772,37.17460317460318,1105,0,0
Grievances/Appeals | dhcf,/service/grievancesappeals,313,248,1.2620967741935485,36.399193548387096,969,0,0
DHCF Policies and Publications | dhcf,/page/dhcf-policies-and-publications,309,219,1.4109589041095891,69.71689497716895,1066,0,0
"Aged, Blind and Disabled (ABD) Individuals | dhcf",/service/aged-blind-and-disabled-abd-individuals,303,209,1.4497607655502391,77.35885167464114,993,0,0
Preferred Drug Program Prior Authorization (PA) Form | dhcf,/publication/preferred-drug-program-prior-authorization-pa-form,301,191,1.5759162303664922,14.596858638743456,1035,0,0
DC HIE | dhcf,/page/dc-hie,290,189,1.5343915343915344,24.285714285714285,959,0,0
Medicaid Health Care Coverage Changes (2025) | dhcf,/node/1797276,282,203,1.3891625615763548,62.01970443349754,892,0,0
Infants & Children (0-20) | dhcf,/node/892192,281,202,1.391089108910891,56.64356435643565,749,0,0
Tax Equity and Fiscal Responsibility Act (TEFRA)/Katie Beckett | dhcf,/katiebeckett,281,208,1.3509615384615385,42.20673076923077,971,0,0
Telemedicine | dhcf,/page/telemedicine,264,164,1.6097560975609757,25.6890243902439,935,0,0
Health Care Alliance (Children) formerly Immigrant Children’s Program | dhcf,/service/health-care-alliance-children-formerly-immigrant-childrens-program,263,172,1.5290697674418605,62.99418604651163,838,0,0
Transmittal 25-27 - FY 2026 Medicaid Hospice Rates | dhcf,/node/1800366,260,242,1.0743801652892562,3.5661157024793386,504,0,0
Important Notice for Primary Care Providers | dhcf,/release/important-notice-primary-care-providers,243,192,1.265625,40.401041666666664,709,0,0
Becoming an EPD Waiver Provider | dhcf,/page/becoming-epd-waiver-provider,242,122,1.9836065573770492,93.19672131147541,675,0,0
Fair Hearing | dhcf,/page/fair-hearing,235,165,1.4242424242424243,35.42424242424242,756,0,0
News Room | dhcf,/newsroom,230,127,1.811023622047244,5.913385826771654,745,0,0
Behavioral Health Integration | dhcf,/page/behavioral-health-integration,225,166,1.355421686746988,43.69879518072289,737,0,0
Doula Services Benefit Design and Reimbursement Methodology | dhcf,/doula-services-spa,219,119,1.8403361344537814,65.29411764705883,774,0,0
How are Services Received? | dhcf,/service/how-are-services-received,217,140,1.55,41.30714285714286,674,0,0
Transmittal 25-25 - Amendment to Medicaid Provider Agreements | dhcf,/node/1798691,216,188,1.148936170212766,8.095744680851064,659,0,0
How to Enroll in an MCP | dhcf,/page/how-enroll-mcp,213,177,1.2033898305084745,30.056497175141242,700,0,0
Maternal Health Projects | dhcf,/maternalhealthprojects,211,152,1.388157894736842,38.19736842105263,681,0,0
Child and Adolescent Supplemental Security Income Program (CASSIP) | dhcf,/publication/child-and-adolescent-supplemental-security-income-program-cassip,190,116,1.6379310344827587,46.525862068965516,684,0,0
MCO External Quality Review Annual Technical Reports | dhcf,/page/mco-external-quality-review-annual-technical-reports,184,110,1.6727272727272726,30.427272727272726,617,0,0
"Medicaid Director Letter - MDL 25-02 - D.C. Medicaid Income Eligibility Changes Effective January 1, 2026 | dhcf",/publication/medicaid-director-letter-mdl-25-02-dc-medicaid-income-eligibility-changes-effective,184,156,1.1794871794871795,11.685897435897436,602,0,0
Publications and Forms | dhcf,/page/publications-and-forms,182,168,1.0833333333333333,48.26190476190476,624,0,0
Transmittal 25-27 - FY 2026 Medicaid Hospice Rates | dhcf,/publication/transmittal-25-27-fy-2026-medicaid-hospice-rates,174,166,1.0481927710843373,0.8192771084337349,228,0,0
"Melisa Byrd, Senior Deputy Director / Medicaid Director, DHCF | dhcf",/biography/melisa-byrd-senior-deputy-director-medicaid-director-dhcf,171,136,1.2573529411764706,22.63235294117647,573,0,0
Authorized Representative Form | dhcf,/publication/authorized-representative-form,166,118,1.4067796610169492,7.8474576271186445,550,0,0
Optional State Supplement Payment Program | dhcf,/service/optional-state-supplement-payment-program,166,112,1.4821428571428572,37.875,544,0,0
Programs for Fathers | dhcf,/page/programs-fathers,162,122,1.3278688524590163,25.778688524590162,631,0,0
Managed Care Quality Strategy | dhcf,/managed-care-quality-strategy,159,102,1.5588235294117647,41.009803921568626,553,0,0
Medicaid State Plan: Section 3 - Services: General Provisions | dhcf,/node/192082,159,82,1.9390243902439024,20.341463414634145,520,0,0
What is Health Care Alliance for Children? | dhcf,/service/health-care-alliance-children-formerly-immigrant-childrens-program,154,102,1.5098039215686274,60.40196078431372,448,0,0
Full Duals and Qualified Medicare Beneficiary (QMB) Only | dhcf,/node/892452,151,122,1.2377049180327868,71.55737704918033,401,0,0
Right Rx Initiative | dhcf,/service/right-rx-initiative,150,122,1.2295081967213115,21.491803278688526,499,0,0
Emergency Medicaid | dhcf,/node/892202,148,133,1.112781954887218,27.954887218045112,401,0,0
Medicaid LTSS Provider Listing | dhcf,/publication/medicaid-ltss-provider-listing,147,86,1.7093023255813953,16.186046511627907,533,0,0
"Transmittal 25-24 - Skilled Nursing Rate Changes Effective October 1, 2025 | dhcf",/node/1798466,147,110,1.3363636363636364,8.7,462,0,0
Medicaid – Reimbursement Form | dhcf,/publication/medicaid-–-reimbursement-form,146,112,1.3035714285714286,11.428571428571429,498,0,0
Pregnant Individual | dhcf,/node/892412,144,106,1.3584905660377358,33.839622641509436,436,0,0
Department of Health Care Finance - DHCF | dhcf,/agency/department-health-care-finance-dhcf,141,111,1.2702702702702702,39.78378378378378,438,0,0
How to Qualify for DC Medicaid? | dhcf,/node/892092,140,114,1.2280701754385965,37.37719298245614,407,0,0
Presumptive Eligibility | dhcf,/node/892432,140,121,1.1570247933884297,30.165289256198346,370,0,0
DHCF Administrators | dhcf,/page/dhcf-administrators,138,126,1.0952380952380953,11.523809523809524,496,0,0
Medicaid State Plan: Section 4 - General Program Administration | dhcf,/node/192472,137,80,1.7125,71.925,500,0,0
DHCF Beneficiary Advisory Council | dhcf,/page/dhcf-beneficiary-advisory-council,136,92,1.4782608695652173,18.956521739130434,417,0,0
Health Homes | dhcf,/page/health-homes,136,114,1.1929824561403508,32.20175438596491,430,0,0
Transmittal 25-22- DC Healthcare Alliance Medical and Pharmacy Services Transition | dhcf,/node/1798301,136,97,1.402061855670103,8.88659793814433,396,0,0
DC HIE Policy Board | dhcf,/dchiepb,133,55,2.418181818181818,141.47272727272727,435,0,0
Informational Bulletins for LTC Providers | dhcf,/publication/informational-bulletins-ltc-providers,133,97,1.3711340206185567,23.88659793814433,409,0,0
Medicaid State Plan: Section 2 - Coverage and Eligibility | dhcf,/node/172882,132,95,1.3894736842105264,25,474,0,0
Medicaid Director Letter - MDL 25-01 - Alliance and ICP 10.01.25 Program Changes | dhcf,/node/1797736,131,104,1.2596153846153846,10.067307692307692,390,0,0
Reporting Medicaid Fraud and Abuse | dhcf,/service/reporting-medicaid-fraud-and-abuse,127,96,1.3229166666666667,15.833333333333334,436,0,0
Publications | dhcf,/publications,126,58,2.1724137931034484,48.13793103448276,391,0,0
Provider Compliance Programs | dhcf,/page/provider-compliance-programs,124,93,1.3333333333333333,16.13978494623656,480,0,0
Provider Performance | dhcf,/page/provider-performance,123,103,1.1941747572815533,25.766990291262136,394,0,0
Maude Regenia Holt | dhcf,/biography/maude-regenia-holt,120,84,1.4285714285714286,23.476190476190474,376,0,0
Medicaid Update: Transmittal 17-06 - Revised 719A Form | dhcf,/publication/medicaid-update-transmittal-17-06-revised-719a-form,120,92,1.3043478260869565,12.978260869565217,424,0,0
"Reporting Fraud, Waste and Abuse | dhcf",/page/reporting-fraud-waste-and-abuse-01,118,85,1.388235294117647,23.141176470588235,380,0,0
Department of Health Care Finance Organizational Chart | dhcf,/publication/department-health-care-finance-organizational-chart,110,79,1.3924050632911393,12.113924050632912,352,0,0
Transmittal 25-14 - Medicaid Fee Schedule Updates to the Reimbursement Rates for District ICF-IID | dhcf,/publication/transmittal-25-14-medicaid-fee-schedule-updates-reimbursement-rates-district-icf-iid,110,80,1.375,21.55,402,0,0
IDD Waiver Services | dhcf,/page/idd-waiver-services,109,82,1.329268292682927,7.804878048780488,345,0,0
Medically Needy Spend-Down | dhcf,/node/892492,108,100,1.08,39.8,302,0,0
Provider Directories | dhcf,/page/provider-directories,107,76,1.4078947368421053,26.894736842105264,363,0,0
Transmittal 25-04 (rev.) - Reimbursement Rate Increases for Behavioral Health Services | dhcf,/node/1777276,107,74,1.445945945945946,15.932432432432432,349,0,0
Public Notice: Medicaid Estate Recovery Fact Sheet | dhcf,/release/public-notice-medicaid-estate-recovery-fact-sheet,104,71,1.4647887323943662,57.11267605633803,346,0,0
"Dr. Chimene Liburd, Chief Medical Officer, DHCF | dhcf",/biography/dr-chimene-liburd-chief-medical-officer-dhcf,103,88,1.1704545454545454,31.03409090909091,316,0,0
Long Term Care Services and Supports - Provider Enrollment Process | dhcf,/page/long-term-care-services-and-supports-provider-enrollment-process,103,82,1.2560975609756098,38.02439024390244,256,0,0
Medicaid Reports | dhcf,/page/medicaid-reports,103,78,1.3205128205128205,33.37179487179487,315,0,0
Joe Weissfeld | dhcf,/biography/joe-weissfeld,102,72,1.4166666666666667,31.77777777777778,333,0,0
Medicaid for Breast and Cervical Cancer Patients | dhcf,/service/medicaid-breast-and-cervical-cancer-patients,101,65,1.5538461538461539,58.292307692307695,298,0,0
DHCF Administrators | dhcf,/node/1109727,100,76,1.3157894736842106,41.43421052631579,311,0,0
MEDICAID COVID-19 PROVIDER UPDATES | dhcf,/page/medicaid-covid-19-provider-updates,100,64,1.5625,49.296875,355,0,0
DHCF For Our Providers | dhcf,/page/dhcf-our-providers,99,65,1.523076923076923,19.50769230769231,312,0,0
Monthly Medicaid and Alliance Enrollment Reports | dhcf,/node/1180991,99,73,1.356164383561644,7.986301369863014,369,0,0
Providers - EVV | dhcf,/page/providers-evv,99,69,1.434782608695652,25.608695652173914,310,0,0
Transition to Managed Care | dhcf,/page/transition-managed-care001,99,79,1.2531645569620253,48.68354430379747,321,0,0
Authorization for Release of Medical Records | dhcf,/publication/authorization-release-medical-records,98,78,1.2564102564102564,11.346153846153847,377,0,0
Appeal Form | dhcf,/publication/appeal-form,97,71,1.3661971830985915,5.605633802816901,320,0,0
Perinatal Mental Health Task Force | dhcf,/publication/perinatal-mental-health-task-force,96,72,1.3333333333333333,21.90277777777778,323,0,0
Benefits of Health Information Exchange | dhcf,/page/benefits-health-information-exchange,95,79,1.2025316455696202,52.46835443037975,378,0,0
Long-term Care (LTC) | dhcf,/node/892472,95,72,1.3194444444444444,43.84722222222222,243,0,0
Open Government and FOIA - DHCF | dhcf,/page/open-government-and-foia-dhcf,94,63,1.492063492063492,47.77777777777778,309,0,0
About - Innovation Initiatives | dhcf,/innovation,92,58,1.5862068965517242,49.10344827586207,278,0,0
Amendment to the Home- and Community-Based Services Waiver for the Elderly and Persons with Physical Disabilities (EPD Waiver) | dhcf,/epd-waiver-amendment,92,75,1.2266666666666666,38.84,268,0,0
Medicaid Income Limits | dhcf,/page/medicaid-income-limits,90,79,1.139240506329114,42.58227848101266,284,0,0
Rates and Reimbursements | dhcf,/page/rates-and-reimbursements/,90,79,1.139240506329114,6.2025316455696204,299,0,0
Conflict-Free Case Management | dhcf,/page/conflict-free-case-management,89,72,1.2361111111111112,59.638888888888886,291,0,0
Eugene Simms | dhcf,/biography/eugene-simms,88,71,1.2394366197183098,27.535211267605632,286,0,0
Key Documents and Data | dhcf,/page/key-documents-and-data-00,87,86,1.0116279069767442,8.104651162790697,352,0,0
Person-Centered Planning | dhcf,/release/person-centered-planning,87,55,1.5818181818181818,52.36363636363637,265,0,0
Contact Agency Directors | dhcf,/page/contact-agency-directors,86,83,1.036144578313253,8.55421686746988,334,0,0
Health Homes for Persons with Severe Mental Illness - My Health Home | dhcf,/page/health-homes-persons-severe-mental-illness-my-health-home,84,59,1.423728813559322,37.016949152542374,271,0,0
How to Submit a Claim for Undue Hardship | dhcf,/unduehardshipclaim,84,70,1.2,13.442857142857143,300,0,0
Kevin O’Donnell | dhcf,/biography/kevin-odonnell,82,61,1.3442622950819672,26.016393442622952,289,0,0
"Wayne Turnage, M.P.A. | dhcf",/node/324462,82,71,1.1549295774647887,27.577464788732396,236,0,0
My Health GPS Program Forms and Materials | dhcf,/page/my-health-gps-program-forms-and-materials,81,55,1.4727272727272727,12.709090909090909,276,0,0
Transmittal 25-26 - Public Notice of Intent to Submit State Plan Amendments on High-Cost Curative Therapy | dhcf,/node/1800261,80,63,1.2698412698412698,7.333333333333333,244,0,0
Deemed Newborns | dhcf,/service/deemed-newborns,78,53,1.471698113207547,38.339622641509436,249,0,0
EVV Contact Information | dhcf,/page/evv-contact-information,78,48,1.625,24.25,253,0,0
Donald Shearer | dhcf,/biography/donald-shearer,77,58,1.3275862068965518,33.86206896551724,274,0,0
Eligibility Monitoring Dashboard | dhcf,/page/eligibility-monitoring-dashboard,77,59,1.305084745762712,35.08474576271186,259,0,0
"Medicaid Director Letter - MDL 25-02 - D.C. Medicaid Income Eligibility Changes Effective January 1, 2026 | dhcf",/node/1802596,77,63,1.2222222222222223,16.53968253968254,223,0,0
Page not found | dhcf,/page/long-term-care-providers,76,50,1.52,27.24,226,0,0
