# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: dc.gov
# Property: dcgov GA4
# ----------------------------------------
# 
# Hostname exactly matches ouc.dc.gov
# Start date: 20250916
# End date: 20251216
Page title and screen class,Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
Feedback | OUC,/page/feedback2,29,19,1.5263157894736843,17.63157894736842,86,0,0
We are sorry; the page you requested is no longer available. | OUC,/release/assistant-watch-commander,29,29,1,5.0344827586206895,102,0,0
Dispatcher | OUC,/release/dispatcher,27,14,1.9285714285714286,70.28571428571429,56,0,0
Halloween Safety Tips | OUC,/publication/halloween-safety-tips,27,25,1.08,18.24,116,0,0
We are sorry; the page you requested is no longer available. | OUC,/release/dispatcher,27,19,1.4210526315789473,7.684210526315789,89,0,0
Schedule a Presentation | OUC,/service/schedule-presentation,23,17,1.3529411764705883,7.823529411764706,64,0,0
911 Performance Dashboard BETA | OUC,/es/node/1679601,22,22,1,5.409090909090909,84,0,0
Ask the Director - OUC | OUC,/external-link/ask-director-ouc,22,16,1.375,0.875,43,0,0
We are sorry; the page you requested is no longer available. | OUC,/page/new-fiscal-year-updates,22,11,2,1.6363636363636365,48,0,0
| OUC,/node,22,18,1.2222222222222223,16.944444444444443,73,0,0
| Page 3 | OUC,/node,22,25,0.88,2.8,86,0,0
Request a Site Visit or Tour | OUC,/service/request-site-visit-or-tour,19,17,1.1176470588235294,20,52,0,0
Testimony of Director Heather McGaffin - FY24 Agency Performance Oversight Hearing | OUC,/release/testimony-director-heather-mcgaffin-fy24-agency-performance-oversight-hearing,19,16,1.1875,3.5625,57,0,0
Office of Unified Communications Receives Industry Technology Award and Program Accreditation at APCO | OUC,/release/office-unified-communications-receives-industry-technology-award-and-program-accreditation,18,12,1.5,35.416666666666664,50,0,0
Testimony of Director Heather McGaffin - FY26 Budget Oversight Hearing | OUC,/release/testimony-director-heather-mcgaffin-fy26-budget-oversight-hearing,18,16,1.125,5.0625,63,0,0
We are sorry; the page you requested is no longer available. | OUC,/page/ouc-complaints-data,18,18,1,2.3333333333333335,82,0,0
| Page 6 | OUC,/node,18,18,1,2.4444444444444446,78,0,0
