# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: dc.gov
# Property: dcgov GA4
# ----------------------------------------
# 
# Hostname exactly matches octo.dc.gov
# Start date: 20250916
# End date: 20251216
Page title and screen class,Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
Artificial Intelligence Task Force Wins Inaugural AI 50 Award | octo,/release/artificial-intelligence-task-force-wins-inaugural-ai-50-award,76,68,1.1176470588235294,22.323529411764707,250,0,0
Buscador de áreas de servicio policial (Spanish) | octo,/service/buscador-de-áreas-de-servicio-policial-spanish,76,60,1.2666666666666666,6.716666666666667,243,0,0
311 Mapping Application | octo,/node/712252,74,49,1.510204081632653,0.20408163265306123,94,0,0
DC State Broadband and Digital Equity Office (SBDEO) Opens Public Comment on BEAD and Digital Equity Plans | octo,/release/dc-state-broadband-and-digital-equity-office-sbdeo-opens-public-comment-bead-and-digital,74,56,1.3214285714285714,24.5,252,0,0
DC-Net | octo,/service/dc-net,72,65,1.1076923076923078,20.26153846153846,190,0,0
Email Use Policy | octo,/page/email-use-policy,71,49,1.4489795918367347,53.59183673469388,218,0,0
Online Services | octo,/online-services,71,70,1.0142857142857142,12.728571428571428,275,0,0
PropertyQuest | octo,/service/propertyquest,69,48,1.4375,35.375,215,0,0
የ OCTO አገልግሎቶች የቋንቋ ትርጓሜዎች | octo,/node/1676996,68,65,1.0461538461538462,2.923076923076923,257,0,0
Data and Records Retention Policy | octo,/publication/data-and-records-retention-policy,67,54,1.2407407407407407,28.48148148148148,239,0,0
District of Columbia Data Policy | octo,/page/district-columbia-data-policy,67,58,1.1551724137931034,6.741379310344827,237,0,0
| octo,/portal/login,66,49,1.346938775510204,10.938775510204081,209,0,0
Access Control Policy | octo,/node/855492,65,42,1.5476190476190477,164.26190476190476,180,0,0
User account | octo,/user,64,14,4.571428571428571,24,207,0,0
We are sorry; the page you requested is no longer available. | octo,/node/687292,64,50,1.28,11.9,151,0,0
OCTO 语言服务 口译 | octo,/node/1677041,62,59,1.0508474576271187,3.2203389830508473,246,0,0
Virtual Private Network (VPN) Policy | octo,/publication/virtual-private-network-vpn-policy,62,49,1.2653061224489797,28.775510204081634,211,0,0
Dịch vụ OCTO Phiên dịch ngôn ngữ | octo,/node/1677021,61,56,1.0892857142857142,2.642857142857143,258,0,0
OCTO Labs | octo,/external-link/octo-labs,61,62,0.9838709677419355,0.6935483870967742,250,0,0
Policy Definitions A-Z | octo,/node/856482,61,53,1.150943396226415,11.79245283018868,175,0,0
Annotation - View 1 | octo,/external-link/annotation-view-1,60,55,1.0909090909090908,0.9090909090909091,273,0,0
Page not found | octo,/node/locationverifier.asmx,60,60,1,3.966666666666667,273,0,0
Page not found | octo,/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact -,58,16,3.625,0,62,0,0
Policies | octo,/page/it-policies,58,41,1.4146341463414633,42.073170731707314,210,0,0
Proof of Identity | octo,/node/682842,58,46,1.2608695652173914,50.56521739130435,118,0,0
Interagency Data Team | octo,/page/interagency-data-team,57,50,1.14,10.74,144,0,0
Remote Work Options and Guidance | octo,/remote,57,47,1.2127659574468086,22.70212765957447,179,0,0
DC Zoning Map | octo,/service/dc-zoning-map,55,49,1.1224489795918366,6.979591836734694,173,0,0
OCTO Labs | octo,/es/external-link/octo-labs,55,55,1,0.5818181818181818,240,0,0
DC Government Hosted Tech Career Collaboration for 50+ High School Students During National Cybersecurity Month | octo,/release/dc-government-hosted-tech-career-collaboration-50-high-school-students-during-national,54,29,1.8620689655172413,19.655172413793103,147,0,0
ESRI Enterprise License Agreement | octo,/page/esri-enterprise-license-agreement,54,37,1.4594594594594594,42.567567567567565,173,0,0
Events | octo,/calendar/month,53,50,1.06,3.28,242,0,0
Services OCTO Interprétations linguistiques | octo,/node/1676986,53,53,1,3.0943396226415096,213,0,0
Servicios OCTO Interpretaciones de idiomas | octo,/node/1676926/media contact - https:/octo.dc.gov/page/media-11,53,50,1.06,1.98,231,0,0
Applications Solutions | octo,/page/applications-solutions,52,41,1.2682926829268293,60.853658536585364,145,0,0
OCTO Labs | octo,/fr/external-link/octo-labs,52,52,1,0.5576923076923077,212,0,0
Events | octo,/calendar/month/2024-12,51,49,1.0408163265306123,1.6326530612244898,219,0,0
Replace a Lost DC One Card | octo,/page/replace-lost-dc-one-card,51,40,1.275,32.375,129,0,0
Annotation - View 2 | octo,/external-link/annotation-view-2,50,47,1.0638297872340425,0.7446808510638298,224,0,0
Basic Map | octo,/external-link/basic-map,50,46,1.0869565217391304,0.9347826086956522,221,0,0
DCPS Boundary Information System - EBIS | octo,/service/dcps-boundary-information-system-ebis,50,35,1.4285714285714286,19,176,0,0
Events | octo,/calendar/week,50,43,1.1627906976744187,1.627906976744186,226,0,0
News Room | Page 3 | octo,/newsroom,50,52,0.9615384615384616,2.1538461538461537,226,0,0
Bowser Administration Encourages Residents to Follow Safe Online Shopping Tips During the Holiday Season | octo,/release/bowser-administration-encourages-residents-follow-safe-online-shopping-tips-during-holiday,49,39,1.2564102564102564,7.3076923076923075,152,0,0
Events | octo,/calendar/month/2024-10,49,47,1.0425531914893618,2.276595744680851,223,0,0
Events | octo,/calendar/month/2025-11,49,47,1.0425531914893618,2.3617021276595747,221,0,0
IT Procurement and IT Project Policy | octo,/publication/it-procurement-and-it-project-policy,49,39,1.2564102564102564,23.05128205128205,153,0,0
ArcGIS for Server | octo,/external-link/arcgis-server,48,45,1.0666666666666667,1.3111111111111111,214,0,0
Crime Cards | octo,/external-link/crime-cards,48,45,1.0666666666666667,0.8,215,0,0
Events | octo,/calendar/month/2024-06,48,45,1.0666666666666667,2.7333333333333334,204,0,0
Google Maps API for Work for DC GIS | octo,/node/1149701,48,43,1.1162790697674418,10.674418604651162,152,0,0
Services | Page 2 | octo,/Services,48,45,1.0666666666666667,28.244444444444444,139,0,0
DC Gov Awards | octo,/fr/page/dc-gov-awards,47,44,1.0681818181818181,2.1818181818181817,217,0,0
District of Columbia Data Policy | octo,/node/1239971,47,35,1.3428571428571427,9.314285714285715,126,0,0
Events | octo,/calendar/month/2024-02,47,44,1.0681818181818181,2.25,202,0,0
Events | octo,/calendar/month/2024-04,47,45,1.0444444444444445,3,215,0,0
News Room | Page 7 | octo,/newsroom,47,46,1.0217391304347827,2.5869565217391304,207,0,0
የኤጀንሲው ዳይሬክተሮችን ያግኙ | octo,/am/page/contact-agency-directors,47,46,1.0217391304347827,4.3478260869565215,208,0,0
DC Government Property Search | octo,/service/dc-government-property-search,46,40,1.15,17.325,147,0,0
DC One Card Login | octo,/node/550622,46,43,1.069767441860465,1.4883720930232558,217,0,0
Events | octo,/calendar/day,46,45,1.0222222222222221,2.7555555555555555,215,0,0
OCTO 언어 서비스 통역 | octo,/page/octo-언어-서비스-통역,46,45,1.0222222222222221,1.9111111111111112,205,0,0
Shared Infrastructure Services | octo,/page/shared-infrastructure-services,46,39,1.1794871794871795,26.71794871794872,130,0,0
DC Gov Awards | octo,/es/page/dc-gov-awards,45,41,1.0975609756097562,2.292682926829268,198,0,0
DC One Card - Frequently Asked Questions | octo,/am/page/dc-one-card-frequently-asked-questions,45,45,1,2.1555555555555554,199,0,0
Events | octo,/calendar/week/2025-W33,45,45,1,2.511111111111111,208,0,0
Responsible Disclosure Policy | octo,/publication/responsible-disclosure-policy,45,33,1.3636363636363635,21.757575757575758,156,0,0
We are sorry; the page you requested is no longer available. | octo,/biography/michael-rupert,45,43,1.0465116279069768,1.0465116279069768,172,0,0
Wi-fi Hotspots | octo,/service/wi-fi-hotspots,45,30,1.5,10.8,127,0,0
Events | octo,/calendar/month/2025-01,44,42,1.0476190476190477,2.0714285714285716,199,0,0
Events | octo,/calendar/month/2025-03,44,42,1.0476190476190477,0.9523809523809523,190,0,0
Add a ArcGIS Server Dynamic Map Service to Google Maps | octo,/page/add-arcgis-server-dynamic-map-service-google-maps,43,41,1.048780487804878,21.21951219512195,184,0,0
Events | octo,/calendar/month/2024-09,43,41,1.048780487804878,2.4146341463414633,203,0,0
Events | octo,/calendar/month/2025-10,43,43,1,3.604651162790698,190,0,0
GIS as a Service | octo,/node/726272,43,42,1.0238095238095237,0.7619047619047619,176,0,0
PA2040 Project | octo,/page/pa2040-project,43,36,1.1944444444444444,32.861111111111114,148,0,0
Social Media Access and Use Policy | octo,/publication/social-media-access-and-use-policy,43,27,1.5925925925925926,46.48148148148148,141,0,0
ArcGIS for Server | octo,/node/726282,42,41,1.024390243902439,0.6097560975609756,182,0,0
DC One Card - Frequently Asked Questions | octo,/fr/page/dc-one-card-frequently-asked-questions,42,44,0.9545454545454546,2.977272727272727,198,0,0
Events | octo,/calendar/month/2024-08,42,42,1,2.9761904761904763,199,0,0
Events | octo,/calendar/month/2025-04,42,38,1.105263157894737,1.6842105263157894,193,0,0
Small Cells | octo,/page/small-cells,42,29,1.4482758620689655,18.517241379310345,118,0,0
የ OCTO አገልግሎቶች የቋንቋ ትርጓሜዎች | octo,/page/የ-octo-አገልግሎቶች-የቋንቋ-ትርጓሜዎች,42,41,1.024390243902439,2.4146341463414633,197,0,0
