# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: dc.gov
# Property: dcgov GA4
# ----------------------------------------
# 
# Hostname exactly matches does.dc.gov
# Start date: 20250916
# End date: 20251216
Page title and screen class,Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
Page not found | does,/does/frames.asp,34,30,1.1333333333333333,0.43333333333333335,101,0,0
What Is Unemployment Insurance Fraud? | does,/es/page/what-unemployment-insurance-fraud,34,32,1.0625,58.46875,136,0,0
Covered Employment and Wages Archive | does,/page/covered-employment-and-wages-archive,33,20,1.65,16.7,106,0,0
Reporting Questions | does,/es/service/reporting-questions,33,18,1.8333333333333333,49.5,107,0,0
We are sorry; the page you requested is no longer available. | does,/node/200652,33,21,1.5714285714285714,4.095238095238095,85,0,0
We are sorry; the page you requested is no longer available. | does,/page/general-benefits-information,33,33,1,4.363636363636363,125,0,0
2025 Documents Part 2 | does,/publication/2025-documents-part-2,32,5,6.4,68,97,0,0
News Room | Page 3 | does,/newsroom,32,24,1.3333333333333333,12.5,101,0,0
Vietnamese (Tiếng Việt) | does,/page/does-vietnamese-tiếng-việt-1,32,30,1.0666666666666667,17.333333333333332,95,0,0
Employer Tax Information - Unemployment Insurance | does,/node/156872,31,24,1.2916666666666667,28.583333333333332,90,0,0
Mayor Bowser Launches AI-Driven Career Platform to Enhance Career Opportunities for Residents | does,/release/mayor-bowser-launches-ai-driven-career-platform-enhance-career-opportunities-residents,31,24,1.2916666666666667,36.833333333333336,105,0,0
We are sorry; the page you requested is no longer available. | does,/service/shared-work-unemployment-insurance-program,31,26,1.1923076923076923,4.538461538461538,110,0,0
Contact Agency Directors | does,/page/contact-agency-directors,30,27,1.1111111111111112,19.185185185185187,93,0,0
The George Washington University Hospital Training Program | does,/es/node/1745151,30,17,1.7647058823529411,47.64705882352941,98,0,0
We are sorry; the page you requested is no longer available. | does,/page/ui-more-information,30,30,1,4.7,132,0,0
MBSYEP Reports | does,/page/mbsyep-reports,29,20,1.45,57.85,84,0,0
The Conversation that Gets the Job (Interviewing Skills) Workshops | does,/page/conversation-gets-job-interviewing-skills-workshops,29,27,1.0740740740740742,13.148148148148149,118,0,0
File a Claim | does,/am/page/file-claim,28,15,1.8666666666666667,46.333333333333336,94,0,0
Financial Literacy Series | does,/page/financial-literacy-series,28,21,1.3333333333333333,51.80952380952381,95,0,0
Industry Closings and Layoffs WARN Notifications | does,/node/445852,28,23,1.2173913043478262,10.434782608695652,78,0,0
We are sorry; the page you requested is no longer available. | does,/node/1572741,28,28,1,1.75,118,0,0
HBCU Public Service Program - Upcoming Events | does,/page/hbcu-public-service-program-upcoming-events,27,25,1.08,19,62,0,0
Page not found | does,/service/YW1lcmljYW,27,27,1,9.11111111111111,110,0,0
Work Opportunity Tax Credit - Eligible Target Groups | does,/page/eligible-target-group-workopp,27,25,1.08,29.4,69,0,0
District of Columbia Long-Term Industry and Occupational Projections | does,/node/184812,26,18,1.4444444444444444,52.05555555555556,102,0,0
Federal Government Shutdown Frequently Asked Questions | does,/page/federal-government-shutdown-frequently-asked-questions,26,23,1.1304347826086956,36.91304347826087,96,0,0
We are sorry; the page you requested is no longer available. | does,/node/200662,26,18,1.4444444444444444,3.5,75,0,0
We are sorry; the page you requested is no longer available. | does,/service/claimant-eligibility,26,18,1.4444444444444444,0.05555555555555555,74,0,0
Application for Formal Hearing | does,/page/application-formal-hearing,25,19,1.3157894736842106,4.894736842105263,85,0,0
Chinese (中文) | does,/page/DOES-chinese-中文-1,25,23,1.0869565217391304,9.173913043478262,75,0,0
DOES and OCTO Announce New Paid Internship Program for DCIA Graduates | does,/release/does-and-octo-announce-new-paid-internship-program-dcia-graduates,25,17,1.4705882352941178,55.1764705882353,65,0,0
Federal Government Shutdown Frequently Asked Questions | does,/fr/node/1682951,25,23,1.0869565217391304,36.26086956521739,91,0,0
Korean (한국어) | does,/page/does-korean-한국어-1,25,23,1.0869565217391304,34.08695652173913,67,0,0
Medstar Washington Hospital Center - Training Program | does,/es/node/1745166,25,21,1.1904761904761905,13.857142857142858,81,0,0
Page not found | does,/sites/default/files/dc/sites/does/publication/attachments/2020+DC+Shared+Work+Pamphlet+-+Processes+and+Guidelines_v4[NEW].pdf,25,25,1,6.12,118,0,0
DC Summer Youth Employment Closeout Celebrates 46 Years of Preparing Next Generation for Career Success | does,/release/dc-summer-youth-employment-closeout-celebrates-46-years-preparing-next-generation-career,24,22,1.0909090909090908,31.681818181818183,74,0,0
General UI Information | does,/es/page/general-ui-information,24,22,1.0909090909090908,14.863636363636363,87,0,0
Labor Statistics Press Releases | does,/page/labor-statistics-press-releases,24,20,1.2,7.55,71,0,0
Mayor Bowser Urges Residents to Take Advantage of Breast Cancer Screenings During Breast Cancer Awareness Month | does,/release/mayor-bowser-urges-residents-take-advantage-breast-cancer-screenings-during-breast-cancer,24,20,1.2,16.45,82,0,0
News Room | Page 4 | does,/newsroom,24,23,1.0434782608695652,5.6521739130434785,79,0,0
Page not found | does,/service/workers-compensation,24,20,1.2,5.2,93,0,0
We are sorry; the page you requested is no longer available. | does,/node/1137846,24,24,1,4.416666666666667,113,0,0
DOES & RAMW Team Up to Host Hiring Fair for District Residents | does,/release/does-ramw-team-host-hiring-fair-district-residents,23,17,1.3529411764705883,35.705882352941174,69,0,0
