# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: dc.gov
# Property: dcgov GA4
# ----------------------------------------
# 
# Hostname exactly matches dmv.dc.gov
# Start date: 20250916
# End date: 20251216
Page title and screen class,Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
REAL ID Proof of Social Security Number | dmv,/node/1115577,6445,5166,1.2475803329461865,27.226287262872628,16804,0,0
Obtain a REAL ID Driver License | dmv,/service/obtain-a-real-id-driver-license,6401,4517,1.4170909895948638,49.58755811379234,21011,0,0
Registration of Out-of-State Automobiles (ROSA) | dmv,/service/registration-out-state-automobile-rosa-0,6377,3926,1.6242995415180845,57.41008660213958,18433,0,0
Registration for Ticket Alert Service (TAS) | dmv,/node/1119672,6247,4409,1.4168745747334996,21.04218643683375,18774,0,0
DC DMV Mobile App | dmv,/service/dc-dmv-mobile-app,6059,4542,1.3339938353148393,26.471818582122413,17723,0,0
How to File an Appeal | dmv,/service/how-file-appeal,5999,4399,1.3637190270516026,44.40645601273017,17716,0,0
Convert Out-of-State Driver Licenses | dmv,/node/1119111,5957,3702,1.6091301998919503,88.65667206915181,18357,0,0
Replace a Non-Driver ID Card | dmv,/service/replace-a-non-driver-id-card,5851,3687,1.5869270409547058,41.08597775969623,18460,0,0
Proof of DC Residency Certifications | dmv,/page/proof-dc-residency-certifications,5768,3577,1.6125244618395302,10.231199329046687,16178,0,0
Copy of Parking Ticket | dmv,/page/copy-parking-ticket,5459,4010,1.3613466334164588,35.061097256857856,18310,0,0
Adjudication Services | dmv,/page/adjudication-services-00,5415,3693,1.4662875710804224,36.26157595450853,16228,0,0
Proof of DC Residency Certifications | dmv,/node/717182,5317,3677,1.446015773728583,11.327168887680173,15572,0,0
Photo Enforcement Virtual Hearing Calendar | dmv,/node/1573516,5313,2832,1.8760593220338984,55.692796610169495,17649,0,0
Driver Licenses | dmv,/node/1119092,5231,4191,1.2481507993319017,27.902171319494155,13999,0,0
Replace a REAL ID or Limited Purpose Driver License | dmv,/node/1120151,5197,3589,1.44803566453051,41.53162440791307,14795,0,0
REAL ID Proof of Lawful Presence | dmv,/node/1414691,5151,4072,1.2649803536345776,22.8897347740668,13434,0,0
Vehicle Transactions | dmv,/node/1718061,5132,4059,1.264350825326435,16.61640798226164,14107,0,0
Online Drivers License Renewal | dmv,/node/1120186,5106,3617,1.411667127453691,37.550456179154,14222,0,0
Residential Parking Permits | dmv,/node/1118912,4923,3571,1.3786054326519182,50.28395407448894,13864,0,0
Driver Services | dmv,/node/1119082,4803,3794,1.2659462308908804,15.6309963099631,12693,0,0
Vehicle Inspection Fees | dmv,/book/vehicle-fees/vehicle-inspection,4793,3453,1.3880683463654793,51.91804228207356,13059,0,0
DMV Fees | dmv,/book/dmv-fees,4569,3580,1.2762569832402235,28.820391061452515,15649,0,0
Obtain a REAL ID Non-Driver Identification Card | dmv,/node/1119146,4518,3010,1.5009966777408639,64.68372093023255,12945,0,0
Reciprocity Permits | dmv,/service/reciprocity-permits,4402,2644,1.6649016641452345,84.32034795763994,12802,0,0
Driver Testing | dmv,/service/driver-testing,4332,3205,1.351638065522621,172.8418096723869,14711,0,0
Admit with an Explanation | dmv,/service/admit-explanation,4275,3116,1.3719512195121952,39.63510911424904,11811,0,0
Ticket Services Frequently Asked Questions (FAQs) | dmv,/node/1625246,4250,3477,1.2223180903077366,56.414725337935,11602,0,0
Vehicle Insurance | dmv,/service/vehicle-insurance,4229,3304,1.2799636803874093,39.016949152542374,13846,0,0
Vehicle Tag Fees | dmv,/book/vehicle-fees/vehicle-tags,4104,3063,1.3398628795298726,43.735553379040155,11188,0,0
Minor Moving Violations Virtual Hearing Calendar | dmv,/node/1490296,4090,2075,1.9710843373493976,67.15084337349397,12457,0,0
5-Day Temporary Registration | dmv,/node/1175220,4089,3012,1.3575697211155378,25.889774236387783,11115,0,0
Change of Address | dmv,/node/1118998,4058,2871,1.4134447927551377,42.16579588993382,11193,0,0
Reciprocity Permits | dmv,/node/1118916,3969,2256,1.759308510638298,104.40691489361703,11273,0,0
Ticket Adjudication Ombudsman | dmv,/page/ticket-adjudication-ombudsman,3926,3091,1.2701391135554836,50.18667098026528,11362,0,0
Locate a Towed Vehicle | dmv,/page/locate-towed-vehicle,3916,2315,1.6915766738660907,27.182289416846654,12086,0,0
REAL ID Driver License and Non-Driver IDs | dmv,/node/1119192,3906,2724,1.433920704845815,56.150513950073424,10334,0,0
Ignition Interlock Device (IID) Program | dmv,/iidprogram,3838,3292,1.1658566221142164,12.087181044957473,9460,0,0
Failure to Pay a Ticket | dmv,/service/failure-pay-ticket,3800,3087,1.2309685779073534,27.419825072886297,10279,0,0
Proof of Ability to Drive | dmv,/node/1115487,3716,3047,1.2195602231703315,21.278634722678046,9516,0,0
Booted or Towed Vehicles | dmv,/service/booted-or-towed-vehicles,3566,2389,1.4926747593135203,32.068647969861864,10453,0,0
Parking Permits | dmv,/node/1684686,3537,2535,1.3952662721893492,19.256015779092703,10071,0,0
Temporary Registration and Tags | dmv,/service/temporary-registration-and-tags,3523,2363,1.490901396529835,60.08760050782903,10863,0,0
Road Skills Tests | dmv,/node/1114977,3517,2292,1.5344677137870855,53.859511343804535,9803,0,0
Legal Defenses to Photo Tickets | dmv,/node/1626091,3464,3046,1.1372291529875247,31.03644123440578,9251,0,0
Driver License for Non-US Citizens | dmv,/service/driver-license-for-non-us-citizens,3418,2346,1.4569479965899403,44.569053708439895,10997,0,0
Page not found | dmv,/service/pay-ticket,3400,2406,1.4131338320864506,20.80590191188695,11957,0,0
Specialty Vehicle Tags | dmv,/service/specialty-vehicle-tags,3370,2416,1.3948675496688743,68.60182119205298,10864,0,0
Vehicle Inspections and Safety Programs | dmv,/service/vehicle-inspections-and-safety-programs,3298,2531,1.303042275780324,14.653891742394311,9055,0,0
Tickets | dmv,/service/tickets,3147,2470,1.274089068825911,18.461133603238867,8815,0,0
Parking Virtual Hearing Calendar | dmv,/node/1573521,3128,1781,1.7563166760247053,59.40819764177429,10437,0,0
Specialty Vehicle Tags | dmv,/node/1118897,3098,2786,1.1119885139985644,22.905240488155062,6552,0,0
Online Tag Cancellation | dmv,/page/online-tag-cancellation,3019,2274,1.3276165347405453,37.30694810905893,9507,0,0
Admit with an Explanation | dmv,/node/1119637,3008,1693,1.776727702303603,56.45717660956881,8775,0,0
Vehicle Registration Replacement | dmv,/service/vehicle-registration-replacement,3001,2049,1.4646168862859932,30.7037579306979,8706,0,0
Driver License or Identification Card Application | dmv,/publication/driver-license-or-identification-card-application,2987,2283,1.308366184844503,19.208059570740254,9664,0,0
Vehicle Titles | dmv,/node/1118876,2961,2129,1.3907937999060591,58.50117426021606,8008,0,0
DMV Live Chat | dmv,/page/dmv-live-chat,2859,2689,1.0632205280773521,11.085533655634064,5632,0,0
Parking Permits | dmv,/page/parking-permits,2846,2339,1.2167592988456606,18.991021804189824,9204,0,0
Ticket Adjudication Ombudsman | dmv,/node/1045822,2839,2475,1.1470707070707071,51.347070707070706,8388,0,0
Motion to Vacate Default Judgment | dmv,/page/motion-vacate-default-judgment,2822,1817,1.5531095211887727,89.31260319207485,8360,0,0
Vehicle Registrations | dmv,/node/1118994,2797,2200,1.2713636363636365,17.687272727272727,7721,0,0
Renew a Non-Driver ID Card | dmv,/service/renew-a-non-driver-id-card,2779,1808,1.5370575221238938,60.10453539823009,8716,0,0
Holiday Closing Schedule | dmv,/page/2025-holiday-closing-schedule,2746,1950,1.4082051282051282,23.563589743589745,8215,0,0
Driver License Fees | dmv,/node/185742,2677,2280,1.1741228070175438,38.44868421052632,6815,0,0
Reciprocity Permits and Renewal | dmv,/node/1685856,2640,1732,1.5242494226327945,14.405889145496536,7330,0,0
Self-Service Vehicle Emissions Inspection Kiosk - Takoma | dmv,/page/self-service-vehicle-emissions-inspection-kiosk-takoma,2634,1711,1.5394506136762127,28.285797779076564,7613,0,0
Contest a Minor Moving Violation Ticket | dmv,/service/contest-minor-moving-violation,2628,1941,1.3539412673879443,29.04173106646059,7996,0,0
Lienholder Out-of-State Title Request | dmv,/node/135872,2626,1534,1.7118644067796611,10.801825293350717,7519,0,0
Renewals | dmv,/service/renewals,2607,1995,1.306766917293233,19.931829573934838,7404,0,0
Visitor Parking Permits | dmv,/node/1118922,2566,1749,1.4671240708976558,42.77129788450543,7835,0,0
Disability Parking Placards/Permits | dmv,/service/apply-for-disability-parking-placards-and-permits,2533,1795,1.411142061281337,44.04011142061281,8358,0,0
DC DMV Service Center Locations | dmv,/page/dc-dmv-service-center-locations,2529,2040,1.2397058823529412,23.041666666666668,7627,0,0
Southwest Service Center | dmv,/page/southwest-service-center-0-5,2510,1626,1.5436654366543665,34.37207872078721,7133,0,0
Ticket Services Frequently Asked Questions (FAQs) | dmv,/page/ticket-services-frequently-asked-questions-faqs,2493,1945,1.2817480719794345,38.14704370179948,7090,0,0
Services | dmv,/services/pay-tickets,2476,1887,1.3121356650768417,32.75622681505035,8679,0,0
Rhode Island Service Center | dmv,/page/rhodeisland-service-center,2468,1620,1.5234567901234568,38.96543209876543,7119,0,0
Legal Defenses to Parking Tickets | dmv,/node/1626101,2455,2044,1.2010763209393347,50.708414872798436,6488,0,0
Obtain a Limited Purpose Non-Driver Identification Card | dmv,/node/1119151,2410,1770,1.3615819209039548,33.36045197740113,6376,0,0
Driver Education | dmv,/page/mandatory-driver-education,2386,1661,1.436484045755569,32.75015051173992,8213,0,0
Learner Permits and Provisional Licenses | dmv,/node/1119161,2384,1655,1.4404833836858006,38.96616314199396,6733,0,0
Driver Records | dmv,/node/1119281,2377,1806,1.3161683277962348,26.224806201550386,7019,0,0
Vehicle Registration and Inspection | dmv,/service/vehicle-registration-and-inspection,2360,1578,1.4955640050697085,54.21673003802282,6637,0,0
Provisional License | dmv,/service/provisional-license,2356,1519,1.5510204081632653,34.49703752468729,7343,0,0
Certificate of Title/Temporary Tag Application | dmv,/node/1119777,2293,1596,1.43671679197995,12.947994987468672,6640,0,0
Vehicle Transactions | dmv,/service/vehicle-transactions,2258,1996,1.1312625250501003,16.415831663326653,6236,0,0
Career Opportunities with DC DMV | dmv,/page/career-opportunities-dc-dmv,2244,1540,1.457142857142857,26.11168831168831,7848,0,0
Driver Education and Testing Information | dmv,/service/driver-education-and-testing-information,2239,1623,1.3795440542205792,24.53173136167591,6230,0,0
License and Identification Card Designations | dmv,/node/1119112,2211,1846,1.1977248104008666,24.25243770314193,5840,0,0
DC DMV Automobile Driver Manual | dmv,/node/1115302,2184,1369,1.5953250547845141,19.074506939371805,6486,0,0
REAL ID FAQs | dmv,/node/1115546,2160,1832,1.1790393013100438,45.68995633187773,5905,0,0
Tag Surrender | dmv,/node/1118886,2150,1533,1.4024787997390737,60.65818656229615,5919,0,0
Provisional License | dmv,/node/1119121,2113,1368,1.5445906432748537,43.76973684210526,5590,0,0
Vehicle Registration and Inspection | dmv,/node/1119197,2109,1279,1.6489444878811572,75.60750586395622,5682,0,0
Obtain a Copy of Your DC Driver Record | dmv,/service/obtain-copy-your-dc-driver-record,2099,1668,1.2583932853717026,9.920863309352518,6160,0,0
Non-Driver Identification Cards | dmv,/node/1119142,2067,1645,1.2565349544072948,32.91003039513678,5543,0,0
U-Haul Trailer Safety Program | dmv,/service/u-haul-trailer-safety-program,2052,2067,0.9927431059506531,5.173197871311078,4187,0,0
Vehicle Safety Programs | dmv,/fr/node/1687206,2010,2042,0.9843290891283056,2.2668952007835457,3379,0,0
