# Hostname exactly matches does.dc.gov,,
# Start date: 20250916,,
# End date: 20251216,,
,,
Page title and screen class,Page path and screen class,Views
DC Government & Private Sector Unite for the Region's Largest Event to Empower Impacted Federal Workers | does,/release/dc-government-private-sector-unite-regions-largest-event-empower-impacted-federal-workers,6
DC Monthly Labor Market Indicators | does,/page/dc-monthly-labor-market-indicators,79
DC Paid Family Leave | does,/PAGE/DC-PAID-FAMILY-LEAVE,1
DC Paid Family Leave | does,/am/node/1302076,3
DC Paid Family Leave | does,/es/node/1302076,1
DC Paid Family Leave | does,/page/dc-paid-family-leave,25551
DC Paid Family Leave | does,/page/dc-paid-family-leave+,2
DC Paid Family Leave | does,/page/dc-paid-family-leave/,12
DC Paid Family Leave | does,/page/district-columbia-paid-family-leave,1
"DC Public Schools Will Be Closed on Friday, January 7, DC Government to Open at 11:00 a.m. | does",/release/dc-public-schools-will-be-closed-friday-january-7-dc-government-open-1100-am,3
DC Summer Youth Employment Closeout Celebrates 46 Years of Preparing Next Generation for Career Success | does,/release/dc-summer-youth-employment-closeout-celebrates-46-years-preparing-next-generation-career,24
DC Unemployment Rate at 7.8 Percent in March | does,/release/dc-unemployment-rate-78-percent-march-0,1
DC’s New $1.2M Program Aims to Close the Tech Talent Gap | does,/node/1750361,3
DC’s New $1.2M Program Aims to Close the Tech Talent Gap | does,/release/dc’s-new-12m-program-aims-close-tech-talent-gap,14
DCAHC - Vision | does,/es/node/1745056,1
DCAHC - Vision | does,/node/1745056,5
DCAHC - Vision | does,/page/dcahc-vision,61
DCIA Spotlight | does,/page/dcia-spotlight,21
Department of Employment Services Announces $1.2 Million Investment into New Capital Workforce Innovation Consortium | does,/release/department-employment-services-announces-12-million-investment-new-capital-workforce,18
Department of Employment Services Announces New Unemployment Insurance Benefits System | does,/release/department-employment-services-announces-new-unemployment-insurance-benefits-system,22
Department of Employment Services Awards Nearly $170K in Scholarships to Summer Youth Program Participants | does,/release/department-employment-services-awards-nearly-170k-scholarships-summer-youth-program,1
Department of Employment Services Hosts Two-Day First Source Hiring Event for DC Residents | does,/release/department-employment-services-hosts-two-day-first-source-hiring-event-dc-residents,9
Department of Employment Services Launches Cutting-Edge Unemployment Insurance Benefits System | does,/release/department-employment-services-launches-cutting-edge-unemployment-insurance-benefits-system,6
Department of Employment Services Wraps Up Spring Break Session with Engaging Career and Leadership Activities for District Youth | does,/node/1776626,5
Department of Employment Services Wraps Up Spring Break Session with Engaging Career and Leadership Activities for District Youth | does,/release/department-employment-services-wraps-spring-break-session-engaging-career-and-leadership,1
Dislocated Worker | does,/service/dislocated-worker,125
"District of Columbia and Washington, DC-MD-VA-WV Metropolitan Statistical Area Occupational Wage, May 2012 | does",/node/683112,1
"District of Columbia and Washington, DC-MD-VA-WV Metropolitan Statistical Area Occupational Wage, May 2012 | does",/publication/district-columbia-and-washington-dc-md-va-wv-metropolitan-statistical-area-occupational,1
"District of Columbia April Unemployment Rate Improves to 5.8 Percent, Reflects Job Gains in Hospitality as Tourism and Businesses Return | does",/release/district-columbia-april-unemployment-rate-improves-58-percent-reflects-job-gains-hospitality,1
"District of Columbia Economy Reflects Job Gains, Unemployment Rate at 5.4% in June | does",/release/district-columbia-economy-reflects-job-gains-unemployment-rate-54-june,1
"District of Columbia Economy Reflects Job Growth, Unemployment Rate at 5.6 Percent in March | does",/node/1776561,6
"District of Columbia Economy Reflects Job Growth, Unemployment Rate at 5.6 Percent in March | does",/release/district-columbia-economy-reflects-job-growth-unemployment-rate-56-percent-march,41
District of Columbia Long-Term Industry and Occupational Projections | does,/node/184812,26
District of Columbia Long-Term Industry and Occupational Projections | does,/publication/district-columbia-long-term-industry-and-occupational-projections,72
District of Columbia Releases Findings on September Job Report | does,/release/district-columbia-releases-findings-september-job-report,2
District of Columbia Short-Term Industry and Occupational Projections | does,/node/538102,1
District of Columbia Short-Term Industry and Occupational Projections | does,/page/district-columbia-short-term-industry-and-occupational-projections,17
District of Columbia Unemployment Drops to 5.5% in December as More Residents Secure Jobs | does,/release/district-columbia-unemployment-drops-55-december-more-residents-secure-jobs,90
District of Columbia Unemployment Holds at 5.0 Percent in August | does,/release/district-columbia-unemployment-holds-50-percent-august,1
District of Columbia Unemployment Rate at 5.3 Percent in May | does,/release/district-columbia-unemployment-rate-53-percent-may,1
District of Columbia Unemployment Rate at 5.3% in January | does,/node/1772006,3
District of Columbia Unemployment Rate at 5.3% in January | does,/release/district-columbia-unemployment-rate-53-january,10
District of Columbia Unemployment Rate at 5.4 Percent in February | does,/release/district-columbia-unemployment-rate-54-percent-february,1
District of Columbia Unemployment Rate at 5.5% in July | does,/release/district-columbia-unemployment-rate-55-july,1
District of Columbia Unemployment Rate at 5.7 Percent in May | does,/release/district-columbia-unemployment-rate-57-percent-may,2
District of Columbia Unemployment Rate at 5.7% in August | does,/release/district-columbia-unemployment-rate-57-august,4
District of Columbia Unemployment Rate at 5.7% in October | does,/release/district-columbia-unemployment-rate-57-october,9
District of Columbia Unemployment Rate at 5.7% in September | does,/release/district-columbia-unemployment-rate-57-september,5
District of Columbia Unemployment Rate at 5.8 Percent in April | does,/node/1782336,4
District of Columbia Unemployment Rate at 5.8 Percent in April | does,/release/district-columbia-unemployment-rate-58-percent-april,10
District of Columbia Unemployment Rate at 5.9 Percent in May | does,/release/district-columbia-unemployment-rate-59-percent-may,6
District of Columbia Unemployment Rate at 6.0 Percent in August | does,/node/1798846,1
District of Columbia Unemployment Rate at 6.0 Percent in August | does,/release/district-columbia-unemployment-rate-60-percent-august-0,309
District of Columbia Unemployment Rate at 6.0 Percent in July | does,/release/district-columbia-unemployment-rate-60-percent-july,42
District of Columbia Unemployment Rate at 6.0 Percent in March | does,/release/district-columbia-unemployment-rate-60-percent-march,2
District of Columbia Unemployment Rate at 6.0 Percent in November | does,/release/district-columbia-unemployment-rate-60-percent-november,2
