# Hostname exactly matches dhcf.dc.gov,,
# Start date: 20250916,,
# End date: 20251216,,
,,
Page title and screen class,Page path and screen class,Views
Adults Without Dependent Children (Childless Adults) | dhcf,/node/892172,1676
Adults Without Dependent Children (Childless Adults) | dhcf,/service/adults-without-dependent-children-childless-adults,1146
AFDC Income Standards | dhcf,/node/838482,6
AFDC Income Standards | dhcf,/publication/afdc-income-standards,4
"Aged, Blind and Disabled (ABD) Individuals | dhcf",/node/892152,363
"Aged, Blind and Disabled (ABD) Individuals | dhcf",/service/aged-blind-and-disabled-abd-individuals,303
Agency Directory | dhcf,/directory/places,9
Alliance Program Changes-Provider FAQs | dhcf,/am/page/alliance-program-changes-provider-faqs,1
Alliance Program Changes-Provider FAQs | dhcf,/es/page/alliance-program-changes-provider-faqs,1
Alliance Program Changes-Provider FAQs | dhcf,/page/alliance-program-changes-provider-faqs,1362
Alliance Program Changes-Provider FAQs | dhcf,/vi/page/alliance-program-changes-provider-faqs,2
Alliance Program Meetings and Slides | dhcf,/node/1809096,7
Alliance Program Meetings and Slides | dhcf,/page/alliance-program-meetings-and-slides,3
Alternate (3rd party) - EVV | dhcf,/am/node/1491846,0
Alternate (3rd party) - EVV | dhcf,/es/node/1491846,5
Alternate (3rd party) - EVV | dhcf,/page/alternate-3rd-party-evv,50
Alternate (3rd party) - EVV | dhcf,/vi/node/1491846,1
Alternative Benefit Plan Attachment 3.1L | dhcf,/node/772762,7
Amendment to the Home- and Community-Based Services Waiver for the Elderly and Persons with Physical Disabilities (EPD Waiver) | dhcf,/epd-waiver-amendment,92
Amendment to the Home- and Community-Based Services Waiver for the Elderly and Persons with Physical Disabilities (EPD Waiver) | dhcf,/fr/node/1442281,6
Amendment to the Home- and Community-Based Services Waiver for the Elderly and Persons with Physical Disabilities (EPD Waiver) | dhcf,/vi/node/1442281,1
American Rescue Plan Act Enhanced Funding for Home and Community-Based Services | dhcf,/am/node/1543316,1
American Rescue Plan Act Enhanced Funding for Home and Community-Based Services | dhcf,/page/arpa-hcbs-planning,415
Americans with Disabilities Act Information | dhcf,/am/page/americans-disabilities-act-information,6
Americans with Disabilities Act Information | dhcf,/fr/page/americans-disabilities-act-information,5
Americans with Disabilities Act Information | dhcf,/page/americans-disabilities-act-information,58
Americans with Disabilities Act Information | dhcf,/vi/page/americans-disabilities-act-information,1
Amharic - Stakeholder Communications Toolkit | dhcf,/page/amharic-stakeholder-communications-toolkit,6
"Amount, Duration and Scope of Services Attachment 3.1A | dhcf",/node/192192,57
"Amount, Duration and Scope of Services Attachment 3.1A | dhcf",/publication/amount-duration-and-scope-services-attachment-31a,1
"Amount, Duration and Scope of Services Attachment 3.1A: Supplement 1 | dhcf",/node/192202,37
"Amount, Duration and Scope of Services Attachment 3.1A: Supplement 1 | dhcf",/publication/amount-duration-and-scope-services-attachment-31a-supplement-1,1
"Amount, Duration and Scope of Services Attachment 3.1A: Supplement 2 | dhcf",/node/192212,15
"Amount, Duration and Scope of Services Attachment 3.1A: Supplement 2 | dhcf",/publication/amount-duration-and-scope-services-attachment-31a-supplement-2,6
"Amount, Duration and Scope of Services Attachment 3.1A: Supplement 3 | dhcf",/node/192222,13
"Amount, Duration and Scope of Services Attachment 3.1A: Supplement 3 | dhcf",/publication/amount-duration-and-scope-services-attachment-31a-supplement-3,4
"Amount, Duration and Scope of Services Attachment 3.1A: Supplement 4 | dhcf",/node/192232,14
"Amount, Duration and Scope of Services Attachment 3.1A: Supplement 4 | dhcf",/publication/amount-duration-and-scope-services-attachment-31a-supplement-4,1
"Amount, Duration and Scope of Services Attachment 3.1A: Supplement 5 | dhcf",/node/192252,12
"Amount, Duration and Scope of Services Attachment 3.1A: Supplement 6 | dhcf",/node/192262,25
"Amount, Duration and Scope of Services Attachment 3.1A: Supplement 6 | dhcf",/publication/amount-duration-and-scope-services-attachment-31a-supplement-6,8
"Amount, Duration and Scope of Services Attachment 3.1A: Supplement 7 | dhcf",/publication/amount-duration-and-scope-services-attachment-31a-supplement-7,17
"Amount, Duration and Scope of Services Attachment 3.1B | dhcf",/node/192332,15
"Amount, Duration and Scope of Services Attachment 3.1B | dhcf",/publication/amount-duration-and-scope-services-attachment-31b,5
"Amount, Duration and Scope of Services Attachment 3.1B: Supplement 1 (P.1-16) | dhcf",/node/192342,20
"Amount, Duration and Scope of Services Attachment 3.1B: Supplement 1 (P.1-16) | dhcf",/publication/amount-duration-and-scope-services-attachment-31b-supplement-1-p1-16,1
"Amount, Duration and Scope of Services Attachment 3.1B: Supplement 1 (P.17-41) | dhcf",/node/192352,12
"Amount, Duration and Scope of Services Attachment 3.1B: Supplement 1 (P.17-41) | dhcf",/publication/amount-duration-and-scope-services-attachment-31b-supplement-1-p17-41,4
"Amount, Duration and Scope of Services Attachment 3.1B: Supplement 2 | dhcf",/node/192362,13
"Amount, Duration and Scope of Services Attachment 3.1B: Supplement 2 | dhcf",/publication/amount-duration-and-scope-services-attachment-31b-supplement-2,6
"Amount, Duration and Scope of Services Attachment 3.1B: Supplement 3 | dhcf",/node/192382,9
"Amount, Duration and Scope of Services Attachment 3.1B: Supplement 3 | dhcf",/publication/amount-duration-and-scope-services-attachment-31b-supplement-3,1
"Amount, Duration and Scope of Services Attachment 3.1B: Supplement 4 | dhcf",/publication/amount-duration-and-scope-services-attachment-31b-supplement-4,6
"Amount, Duration and Scope of Services Attachment 3.1C | dhcf",/node/192402,14
"Amount, Duration and Scope of Services Attachment 3.1C | dhcf",/publication/amount-duration-and-scope-services-attachment-31c,1
"Amount, Duration and Scope of Services Attachment 3.1D | dhcf",/node/192412,12
"Amount, Duration and Scope of Services Attachment 3.1E | dhcf",/node/192422,6
"Amount, Duration and Scope of Services Attachment 3.1F | dhcf",/node/192432,17
"Angelique Martin, Deputy Director, Finance, DHCF | dhcf",/biography/angelique-martin-deputy-director-finance-dhcf,27
"Angelique Martin, Deputy Director, Finance, DHCF | dhcf",/node/1483626,35
Ann E. K. Page | dhcf,/biography/ann-e-k-page,3
Announcement - Submitted to CMS: District of Columbia Plan to Comply with New Federal Home and Community Based Services Requirements | dhcf,/release/announcement-submitted-cms-district-columbia-plan-comply-new-federal-home-and-community,7
