# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: dc.gov
# Property: dcgov GA4
# ----------------------------------------
# 
# Hostname exactly matches otr.cfo.dc.gov
# Start date: 20250916
# End date: 20251216
Page title and screen class,Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
Business Tax Service Center | otr,/service/business-tax-service-center,995,758,1.312664907651715,34.738786279683374,2500,0,0
Payment Options for Individual Income Tax | otr,/service/payment-options-individual-income-tax,935,722,1.2950138504155124,32.82825484764543,3003,0,0
How to Participate in Over-the-Counter Tax Sales | otr,/node/1677096,922,640,1.440625,47.0546875,2567,0,0
Individual Income Tax Forms 2025 Tax Filing Season (Tax Year 2024) | otr,/page/individual-income-tax-forms-2025-tax-filing-season-tax-year-2024,914,697,1.3113342898134863,28.647058823529413,3087,0,0
Exemptions and Exempt Organizations  | otr,/page/exemptions-and-exempt-organizations ,904,617,1.4651539708265802,74.43273905996759,3030,0,0
Real Property Tax Certificate | otr,/page/real-property-tax-certificate,885,623,1.420545746388443,36.33065810593901,2672,0,0
2025 FR-900Q MyTax.DC.gov (Instructions) | otr,/node/1760881,880,668,1.3173652694610778,6.5,2402,0,0
2024 D-40 | otr,/publication/2024-d-40,876,665,1.3172932330827067,11.139849624060151,3093,0,0
Electronic Recording | otr,/page/electronic-recording,875,637,1.3736263736263736,34.10361067503925,2974,0,0
Mailing Addresses for DC Tax Returns | otr,/publication/mailing-addresses-dc-tax-returns,873,708,1.2330508474576272,12.336158192090396,3278,0,0
Miscellaneous DC Tax Forms and Publications | otr,/page/miscellaneous-dc-tax-forms-and-publications,871,696,1.2514367816091954,24.21551724137931,2559,0,0
We are sorry; the page you requested is no longer available. | otr,/page/income-tax-withholding-instructions-and-tables,857,652,1.3144171779141105,8.35122699386503,2927,0,0
Digital Goods Sales Taxability Chart | otr,/page/digital-goods-sales-taxability-chart,856,562,1.5231316725978647,25.09252669039146,2481,0,0
Combined Reporting for Business Entities | otr,/page/combined-reporting-business-entities,849,621,1.3671497584541064,37.17230273752013,3046,0,0
New Business Registration | otr,/node/1035102,819,474,1.7278481012658229,46.25949367088607,2316,0,0
Sales and Use Tax Instructions | otr,/page/sales-and-use-tax-instructions,814,548,1.4854014598540146,38.153284671532845,2707,0,0
"Bulk Filing for Sales and Use, Withholding and Information Returns | otr",/publication/bulk-filing-sales-and-use-withholding-and-information-returns,795,394,2.017766497461929,46.421319796954315,2450,0,0
EFT Guide | otr,/publication/eft-guide,793,576,1.3767361111111112,11.427083333333334,2451,0,0
We are sorry; the page you requested is no longer available. | otr,/service/payment-options-individual-income-tax,771,511,1.5088062622309197,15.888454011741683,2696,0,0
ROD 1 - Real Property Recordation and Transfer Tax (Form FP 7C) | otr,/publication/rod-1-real-property-recordation-and-transfer-tax-form-fp-7c,762,519,1.4682080924855492,9.25626204238921,2757,0,0
Business Tax Forms and Publications for 2025 Tax Filing Season (Tax Year 2024) | otr,/page/business-tax-forms-and-publications-2025-tax-filing-season-tax-year-2024,760,531,1.4312617702448212,40.145009416195855,1917,0,0
2023 D-20 | otr,/node/1703976,754,575,1.3113043478260868,4.40695652173913,1868,0,0
Real Property Assessment Appeal Rights & Application | otr,/page/real-property-assessment-appeal-rights-application,750,528,1.4204545454545454,20.359848484848484,1953,0,0
Federal and State E-File Program (Modernized e-File) | otr,/page/federal-and-state-e-file-program-modernized-e-file,746,422,1.7677725118483412,22.620853080568722,1760,0,0
Collection and Enforcement Administration (CEA) Contact Information | otr,/page/collection-and-enforcement-administration-cea-contact-information,743,547,1.3583180987202925,30.610603290676416,2397,0,0
Real Property Tax Database Search | otr,/node/388872,720,357,2.0168067226890756,16.274509803921568,2011,0,0
Tax Filing Tips | otr,/page/tax-filing-tips,717,563,1.2735346358792186,28.52753108348135,2263,0,0
ROD 1 - Real Property Recordation and Transfer Tax (Form FP 7C) | otr,/node/1746671,713,448,1.5915178571428572,10.611607142857142,2207,0,0
Recorder of Deeds Services | otr,/service/recorder-deeds-services,713,544,1.3106617647058822,17.63235294117647,1553,0,0
Exemptions for Federal and State Government Agencies and Related Organizations | otr,/publication/exemptions-federal-and-state-government-agencies-and-related-organizations,710,561,1.2655971479500892,15.11229946524064,2765,0,0
"FR-COA Change of Name, Address, or Identification Number (Fill-in) | otr",/publication/fr-coa-change-name-address-or-identification-number-fill,694,524,1.3244274809160306,11.244274809160306,2167,0,0
Taxpayer Advocate | otr,/page/taxpayer-advocate,691,575,1.2017391304347826,19.88695652173913,2337,0,0
Responding to a Verification Request From OTR | otr,/page/respond-to-a-verification-request,677,438,1.5456621004566211,49.321917808219176,2211,0,0
Software Developer Information | otr,/page/software-developer-information,676,468,1.4444444444444444,26.168803418803417,2014,0,0
Tax Forms & Instructions | otr,/node/1794686,676,572,1.1818181818181819,15.153846153846153,1961,0,0
ROD FAQs | otr,/page/rod-faqs,675,494,1.3663967611336032,66.79352226720648,2149,0,0
Real Property Tax Rates and Billing FAQs | otr,/page/real-property-tax-rates-and-billing-faqs,666,546,1.2197802197802199,27.978021978021978,1893,0,0
Individual Income Tax Forms | otr,/page/individual-income-tax-forms,663,475,1.3957894736842105,23.290526315789474,1861,0,0
Electronic Recording | otr,/node/1240941,659,525,1.2552380952380953,29.70095238095238,1825,0,0
Real Property Assessments and Appeals FAQs | otr,/page/real-property-assessments-and-appeals-faqs,652,457,1.4266958424507659,28.358862144420133,1650,0,0
"Bulk Filing for Sales and Use, Withholding and Information Returns | otr",/node/1447081,647,326,1.9846625766871167,29.791411042944784,2033,0,0
FAQs | otr,/page/otr-faqs,644,489,1.3169734151329244,20.169734151329244,2016,0,0
Mailing Addresses for DC Tax Returns | otr,/node/392882,641,532,1.2048872180451127,7.317669172932331,1883,0,0
2024 D-30 | otr,/node/1759311,638,469,1.3603411513859276,9.08315565031983,1684,0,0
Special Events | otr,/page/special-events,627,420,1.4928571428571429,43.56428571428572,2087,0,0
Real Property Tax Bill Due Dates and Delayed Tax Bills | otr,/node/409022,620,538,1.1524163568773234,27.304832713754646,1790,0,0
Alternative Fuel Vehicle Infrastructure and Conversion Credits FAQs | otr,/publication/alternative-fuel-vehicle-infrastructure-and-conversion-credits-faqs,619,573,1.0802792321116927,2.8342059336823735,1971,0,0
Installment Agreements | otr,/page/installment-agreements,619,421,1.4703087885985748,30.304038004750595,1808,0,0
2024 D-40B | otr,/publication/2024-d-40b,613,459,1.3355119825708062,15.886710239651416,2258,0,0
2024 D-40 Booklet | otr,/publication/2024-d-40-booklet,607,458,1.3253275109170306,8.740174672489083,2051,0,0
Cooperative Housing Tax Relief Programs and Resources | otr,/service/cooperative-housing-tax-relief-programs-and-resources,605,420,1.4404761904761905,42.65238095238095,1689,0,0
ROD 7 - Exemptions - Recordation | otr,/node/393242,600,361,1.6620498614958448,6.268698060941828,1762,0,0
Recorder of Deeds Frequently Asked Questions (FAQs) | otr,/service/recorder-deeds-frequently-asked-questions-faqs,597,414,1.4420289855072463,69.29951690821257,1813,0,0
OTR Customer Service Center | otr,/node/389742,585,506,1.1561264822134387,35.14229249011858,1549,0,0
Exemption From DC Real Property Taxes | otr,/publication/exemption-dc-real-property-taxes,581,430,1.3511627906976744,22.823255813953487,1816,0,0
Individual Income Tax Forms 2025 Tax Filing Season (Tax Year 2024) | otr,/node/1758271,581,416,1.3966346153846154,23.00721153846154,1401,0,0
Sales and Use Tax FAQs | otr,/page/sales-and-use-tax-faqs,575,421,1.3657957244655583,51.86935866983373,1803,0,0
Real Property Tax Rates | otr,/node/389122,574,519,1.1059730250481696,23.63005780346821,1663,0,0
2023 D-8609 | otr,/node/1702881,562,158,3.5569620253164556,2.588607594936709,878,0,0
ROD 7 - Exemptions - Recordation | otr,/publication/rod-7-exemptions-recordation,557,367,1.5177111716621254,7.874659400544959,1682,0,0
Business Taxpayers | otr,/service/business-taxpayers,554,430,1.2883720930232558,37.19767441860465,1421,0,0
Individual Income Tax Forms | otr,/node/1796481,552,425,1.2988235294117647,28.95529411764706,1576,0,0
Recordation & Transfer Tax Exemption Requirements | otr,/page/recordation-transfer-tax-exemption-requirements,543,404,1.3440594059405941,12.393564356435643,1614,0,0
We are sorry; the page you requested is no longer available. | otr,/service/business-taxpayers,539,412,1.308252427184466,17.34223300970874,1797,0,0
Income Tax Withholding Instructions and Tables | otr,/page/income-tax-withholding-instructions-and-tables,538,381,1.4120734908136483,20.53280839895013,1672,0,0
Real Property Tax Relief | otr,/page/real-property-tax-relief,538,415,1.2963855421686747,13.42409638554217,1531,0,0
2024 D-20 | otr,/publication/2024-d-20-0,535,402,1.3308457711442787,10.840796019900498,1918,0,0
