# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: dc.gov
# Property: dcgov GA4
# ----------------------------------------
# 
# Hostname exactly matches dpr.dc.gov
# Start date: 20250916
# End date: 20251216
Page title and screen class,Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
Fee Schedule | dpr,/page/fee-schedule,1012,687,1.473071324599709,67.16302765647744,2519,0,0
Jelleff Community Center | dpr,/page/jelleff-community-center,943,680,1.386764705882353,20.610294117647058,2868,0,0
Barry Farm Aquatic Center | dpr,/page/barry-farm-aquatic-center,935,615,1.5203252032520325,21.822764227642278,2262,0,0
King-Greenleaf Recreation Center | dpr,/kinggreenleaf,935,676,1.3831360946745561,22.20562130177515,2674,0,0
Roosevelt Aquatic Center | dpr,/page/roosevelt-aquatic-center,929,590,1.5745762711864406,24.11186440677966,2287,0,0
Adults Programs | dpr,/page/adults-programs,919,756,1.2156084656084656,14.701058201058201,2589,0,0
Rose Park Recreation Center | dpr,/page/rose-park-recreation-center,899,689,1.304789550072569,21.400580551523948,2680,0,0
Joy Evans Therapeutic Aquatic Center | dpr,/page/joy-evans-therapeutic-aquatic-center,894,589,1.5178268251273344,41.178268251273344,2110,0,0
Bald Eagle Recreation Center | dpr,/baldeagle,872,588,1.4829931972789117,28.797619047619047,2497,0,0
Hillcrest Recreation Center | dpr,/hillcrest,872,583,1.495711835334477,34.21097770154374,2426,0,0
Reservoir Park Aquatic Center | dpr,/page/reservoir-park-aquatic-center,862,685,1.2583941605839417,16.052554744525548,2312,0,0
Volunteers | dpr,/page/volunteers-01,847,597,1.4187604690117253,20.43886097152429,2428,0,0
Aquatics Admission and Fees | dpr,/page/aquatics-admission-and-fees,832,610,1.3639344262295081,29.550819672131148,2168,0,0
Arthur Capper Community Center | dpr,/arthurcapper,825,545,1.5137614678899083,24.480733944954128,2304,0,0
Randall Recreation Center | dpr,/randall,817,616,1.3262987012987013,16.628246753246753,2421,0,0
DPR Programs | dpr,/node/1498591,816,687,1.1877729257641922,4.292576419213974,1723,0,0
Kids Programs | dpr,/page/kids-programs,795,619,1.2843295638126009,20.292407108239097,2246,0,0
Banneker Recreation Center | dpr,/banneker,784,587,1.3356047700170357,22.47870528109029,2178,0,0
Kenilworth Recreation Center | dpr,/kenilworth,781,539,1.4489795918367347,22.827458256029686,2206,0,0
Spray Parks | dpr,/sprayparks,775,594,1.3047138047138047,17.14814814814815,2293,0,0
Chevy Chase Recreation Center | dpr,/page/chevy-chase-recreation-center,762,593,1.284991568296796,15.888701517706577,2200,0,0
Ridge Road Community Center | dpr,/ridgeroad,749,493,1.5192697768762677,27.060851926977687,2089,0,0
DPR Reduced Rates | dpr,/node/1636226,729,554,1.315884476534296,28.064981949458485,1792,0,0
Benning Stoddert Recreation Center | dpr,/node/1237501,728,721,1.0097087378640777,1.8918169209431346,2161,0,0
DC Waves Swim Team Information | dpr,/page/dc-waves-swim-team-information,717,464,1.5452586206896552,15.974137931034482,2126,0,0
DPR Executive and Senior Staff | dpr,/page/dpr-executive-and-senior-staff,710,478,1.4853556485355648,32.36610878661088,2099,0,0
Get a Swim Pass | dpr,/service/get-swim-pass,709,443,1.600451467268623,30.293453724604966,2070,0,0
Contact Us | dpr,/page/contact-us-2,707,499,1.4168336673346693,93.1943887775551,1765,0,0
Rosedale Recreation Center | dpr,/rosedale,700,521,1.3435700575815739,18.656429942418427,1956,0,0
Columbia Heights Community Center | dpr,/node/706702,691,541,1.277264325323475,30.414048059149724,1447,0,0
Friendship Recreation Center | dpr,/friendship,677,495,1.3676767676767676,15.715151515151515,1879,0,0
Local Parks | dpr,/node/1238961,656,497,1.3199195171026157,17.609657947686117,1381,0,0
Arboretum Community Center | dpr,/arboretum,654,479,1.3653444676409185,28.599164926931106,1842,0,0
Benning Stoddert Recreation Center | dpr,/benningstoddert,637,452,1.4092920353982301,22.393805309734514,1845,0,0
DPR Athletic Fields | dpr,/page/dpr-athletic-fields,629,484,1.2995867768595042,10.409090909090908,1817,0,0
DPR Tennis Court Rules and Regulations | dpr,/tennisrules,621,427,1.4543325526932085,18.423887587822016,1909,0,0
Trinidad Recreation Center | dpr,/trinidad,614,445,1.3797752808988764,24.48988764044944,1726,0,0
Become a DPR Lifeguard! | dpr,/lifeguard,612,278,2.2014388489208634,29.223021582733814,1877,0,0
Seasonal Permits | dpr,/page/seasonal-permits,612,387,1.5813953488372092,19.421188630490956,1421,0,0
Seniors Programs | dpr,/page/seniors-programs,604,411,1.4695863746958637,44.2043795620438,1900,0,0
Senior Aquatics | dpr,/page/senior-aquatics,594,150,3.96,49.58,1298,0,0
Riggs-LaSalle Community Center | dpr,/riggslasalle,576,394,1.4619289340101522,26.753807106598984,1666,0,0
Partnerships and Development Division | dpr,/page/partnerships-and-development-division,571,441,1.2947845804988662,13.99092970521542,1366,0,0
Mayor Muriel Bowser's FITDC Fresh Start 5K | dpr,/page/mayor-muriel-bowsers-fitdc-fresh-start-5k,558,392,1.4234693877551021,21.252551020408163,1837,0,0
Hearst Recreation Center | dpr,/page/hearst-recreation-center,551,433,1.2725173210161662,15.508083140877599,1551,0,0
North Michigan Park Recreation Center | dpr,/northmichiganpark,549,361,1.520775623268698,21.98337950138504,1519,0,0
Rules and Regulations | dpr,/page/rules-and-regulations-0,547,400,1.3675,19.7,1353,0,0
Fort Stevens Recreation Center | dpr,/fortstevens,533,370,1.4405405405405405,32.464864864864865,1489,0,0
Dog Parks | dpr,/page/dog-parks-00,531,363,1.462809917355372,19.62258953168044,1548,0,0
Volta Park Recreation Center | dpr,/page/volta-park-recreation-center,524,398,1.3165829145728642,15.319095477386934,1507,0,0
Winter Wondercamp | dpr,/page/winter-wondercamp,519,389,1.3341902313624678,22.786632390745503,1552,0,0
Adult Sports | dpr,/page/adult-sports,515,430,1.197674418604651,8.87906976744186,1514,0,0
Lafayette-Pointer Recreation Center | dpr,/page/lafayette-pointer-recreation-center,507,346,1.4653179190751444,18.540462427745666,1414,0,0
Petworth Recreation Center | dpr,/petworth,506,394,1.284263959390863,15.784263959390863,1435,0,0
Ferebee-Hope Recreation Center | dpr,/ferebeehope,500,372,1.3440860215053763,21.712365591397848,1454,0,0
About DPR | dpr,/page/about-dpr,498,366,1.360655737704918,18.975409836065573,1227,0,0
DPR Walk-in Recreation | dpr,/node/1547721,498,442,1.1266968325791855,0.5950226244343891,685,0,0
Cooperative Play Program | dpr,/coopprogram,493,303,1.627062706270627,25.653465346534652,1492,0,0
Glover Park Community Center | dpr,/page/glover-park-community-center,490,353,1.388101983002833,20.594900849858355,1339,0,0
Adults Health & Wellness | dpr,/page/adults-health-wellness,479,418,1.145933014354067,13.023923444976077,1284,0,0
Apply for a Permit | dpr,/node/496492,478,347,1.377521613832853,16.677233429394814,1165,0,0
Fort Stanton Recreation Center | dpr,/fortstanton,475,334,1.4221556886227544,26.676646706586826,1258,0,0
Lamond Recreation Center | dpr,/lamond,474,338,1.4023668639053255,22.00887573964497,1315,0,0
Shepherd Park Community Center | dpr,/node/1530916,468,365,1.2821917808219179,21.53150684931507,1105,0,0
Watkins Recreation Center | dpr,/page/watkins-recreation-center,465,348,1.3362068965517242,19.879310344827587,1288,0,0
Adult Flag Football | dpr,/service/adult-flag-football,455,336,1.3541666666666667,22.473214285714285,1543,0,0
DPR Permits Frequently Asked Questions (FAQs) | dpr,/page/dpr-permits-frequently-asked-questions-faqs,455,367,1.2397820163487738,49.02452316076294,1040,0,0
Hardy Recreation Center | dpr,/page/hardy-recreation-center-00,453,337,1.344213649851632,19.958456973293767,1277,0,0
